"","Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","geometry","intersection","fips"
"1","2/25/2019","26XX N FAIRFIELD AVE AVE","< 1","< 1","< 1",c(-87.6963134, 41.9287286),1043,"17031220300"
"2","9/30/2019","29XX N MULLIGAN AVE","< 1","< 1","< 1",c(-87.784771, 41.9329816),292,"17031190401"
"3","6/25/2018","77XX S SPAULDING AVE","3.2","6","1.9",c(-87.7051875, 41.7532687),1822,"17031700100"
"4","12/8/2019","31XX W ARMITAGE AVE","< 1","< 1","< 1",c(-87.7056994, 41.9174027),749,"17031222600"
"5","8/30/2016","24XX N HAMLIN AVE","5.5","12","3",c(-87.7218664, 41.9246058),107,"17031220701"
"6","9/29/2021","83XX S YATES BLVD","1.6","1.6","2.5",c(-87.5664083, 41.7443123),147,"17031460500"
"7","12/8/2019","69XX N KEDZIE AVE","< 1","< 1","< 1",c(-87.7093454, 42.0027349),625,"17031808002"
"8","8/14/2020","22XX N WASHTENAW AVE","1.9","4.7","2.7",c(-87.6956491, 41.9218589),681,"17031221400"
"9","10/1/2018","45XX N MAPLEWOOD AVE","< 1","< 1","< 1",c(-87.6927397, 41.9633055),1181,"17031040800"
"10","2/4/2020","27XX W LEXINGTON ST","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.69373, 41.872262),1473,"17031837400"
"11","11/11/2019","117XX S BELL AVE","12","6.3","4.1",c(-87.6771481, 41.6807573),1251,"17031750500"
"12","10/2/2019","14XX N LINDER AVE","11","7.5","5.7",c(-87.7636294, 41.9058955),1942,"17031250700"
"13","7/19/2019","56XX S ABERDEEN ST","1.4","1.2","1.5",c(-87.6527035, 41.792262),708,"17031680500"
"14","12/2/2020","44XX N WHIPPLE ST","3.9","2.8","1.6",c(-87.704576, 41.9612048),3064,"17031160601"
"15","8/31/2021","37XX N BOSWORTH AVE","<1.0","<1.0","<1.0",c(-87.6678042, 41.9490024),1186,"17031060400"
"16","6/16/2018","61XX N CAMPBELL AVE","8.3","16","6.6",c(-87.69242, 41.992381),1769,"17031020802"
"17","6/9/2016","20XX N WOLCOTT AVE","< 1","< 1","< 1",c(-87.6751901, 41.9178061),2332,"17031832300"
"18","6/20/2018","11XX N LA SALLE DR","< 1","< 1","< 1",c(-87.6333086, 41.9020661),512,"17031081000"
"19","2/21/2018","40XX W EASTWOOD AVE","< 1","1.2","< 1",c(-87.7286471, 41.9656537),285,"17031140500"
"20","2/14/2019","54XX W LUNT AVE","3.5","4.6","1.6",c(-87.762809, 42.007773),2254,"17031120200"
"21","8/24/2019","14XX W HENDERSON ST","< 1","< 1","< 1",c(-87.6638864, 41.9425052),2748,"17031062300"
"22","7/31/2018","16XX W BYRON ST","1.1","2.2","< 1",c(-87.6690542, 41.9524497),506,"17031060300"
"23","11/6/2016","110XX S AVENUE O","1.3","3.4","4.3",c(-87.5404161, 41.6953528),1998,"17031520600"
"24","12/3/2019","102XX S YALE AVE","3.2","1.9","1",c(-87.6298397, 41.708791),148,"17031490700"
"25","4/20/2021","19XX W CULLOM AVE","< 1","< 1","< 1",c(-87.6763108, 41.9597943),756,"17031050100"
"26","7/9/2018","54XX N MULLIGAN AVE","4.6","3.7","3.4",c(-87.7868934, 41.9794059),1902,"17031110300"
"27","10/6/2021","5XX W Surf St Apt.","<1.0","<1.0","<1.0",c(-87.6417733, 41.9342827),1191,"17031063301"
"28","3/12/2019","66XX N KEOTA AVE","2","2.8","< 1",c(-87.7727718, 42.0004879),1195,"17031120100"
"29","8/31/2021","28XX W CONGRESS PKWY","<1.0","<1.0","<1.0",c(-87.6964573, 41.8750185),2672,"17031837000"
"30","5/31/2018","30XX S LLOYD AVE","2.7","4","3.8",c(-87.659558, 41.8393596),1771,"17031600700"
"31","8/27/2019","8XX W ARGYLE ST","< 1","< 1","< 1",c(-87.6510112, 41.9733739),1702,"17031031300"
"32","9/8/2016","68XX W SHAKESPEARE AVE","4","12","4.3",c(-87.7953796, 41.9187098),376,"17031250500"
"33","11/10/2019","13XX E 53RD ST","< 1","< 1","< 1",c(-87.594758, 41.7997984),1713,"17031410700"
"34","12/5/2018","10XX W ARMITAGE AVE","< 1","< 1","< 1",c(-87.6536, 41.9183532),1006,"17031071000"
"35","4/16/2019","48XX S DORCHESTER AVE","4.2","2.9","5",c(-87.5923051, 41.8076895),1710,"17031390600"
"36","9/16/2019","108XX S HOYNE AVE","< 1","2.3","2.4",c(-87.6743953, 41.6972503),568,"17031750200"
"37","6/20/2016","12XX W GEORGE ST","< 1","< 1","< 1",c(-87.6592492, 41.9344719),510,"17031062800"
"38","3/30/2019","18XX S PEORIA ST","< 1","1.1","< 1",c(-87.6485365, 41.8579879),605,"17031310300"
"39","6/20/2018","41XX N RICHMOND ST","1.3","1.6","< 1",c(-87.7019536, 41.9557969),1034,"17031160602"
"40","11/5/2020","17XX W CERMAK RD","< 1","< 1","< 1",c(-87.6687289, 41.8525034),1981,"17031310800"
"41","8/27/2019","107XX S LONGWOOD DR","4.8","8.8","7.7",c(-87.6716917, 41.6990039),568,"17031750200"
"42","10/14/2019","17XX W 106th St","5.2","15","3.6",c(-87.6647788, 41.7013424),1230,"17031720700"
"43","8/21/2018","47XX N LAWNDALE AVE","< 1","< 1","< 1",c(-87.7208643, 41.9666536),2753,"17031140602"
"44","6/24/2019","75XX S VERNON AVE","3","4.2","2.2",c(-87.6138843, 41.7584224),452,"17031691400"
"45","1/11/2022","5XX W 80TH ST","5.6","2.4","1.8",c(-87.6369022, 41.7491011),2407,"17031842400"
"46","10/8/2019","12XX N WALLER AVE","4.4","8.8","3",c(-87.76842, 41.902333),4,"17031250600"
"47","6/28/2019","28XX N TALMAN AVE","< 1","< 1","< 1",c(-87.6941301, 41.9330464),2311,"17031210900"
"48","12/25/2019","38XX N DAMEN AVE","< 1","< 1","< 1",c(-87.6788545, 41.9506855),132,"17031050500"
"49","12/28/2018","12XX S FEDERAL ST","< 1","< 1","< 1",c(-87.6299275, 41.8671199),665,"17031330200"
"50","4/5/2022","65XX W Clarence Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7899289, 41.994628),1193,"17031100200"
"51","7/7/2018","32XX N SHEFFIELD AVE","< 1","< 1","< 1",c(-87.654299, 41.94011),1539,"17031062200"
"52","10/3/2018","47XX N MAPLEWOOD AVE","3.6","3.1","3",c(-87.6925212, 41.9667682),1497,"17031040700"
"53","4/2/2019","38XX N SACRAMENTO","4.4","17","2",c(-87.7034009, 41.9504311),2280,"17031160700"
"54","6/14/2018","37XX N MARSHFIELD AVE","3.6","< 1","< 1",c(-87.6704159, 41.948916),506,"17031060300"
"55","12/16/2019","51XX S CORNELL AVE","2.1","5","1.2",c(-87.586734, 41.8021701),826,"17031410100"
"56","1/11/2020","54XX S DORCHESTER AVE","6.8","2.3","1.8",c(-87.5922105, 41.7978632),1713,"17031410700"
"57","10/6/2021","54XX S Ellis Ave","<1.0","<1.0","<1.0",c(-87.601569, 41.797802),2861,"17031410500"
"58","3/28/2022","44XX N MALDEN ST","0.9","1.3","1",c(-87.662744, 41.961844),130,"17031031700"
"59","7/18/2021","38XX N JANSSEN AVE","2.6","10","9.7",c(-87.6657412, 41.9506834),1186,"17031060400"
"60","4/9/2016","104XX S CAMPBELL AVE","1.16","2.30","<1",c(-87.6843349, 41.7044121),1229,"17031720500"
"61","10/4/2016","35XX N GREENVIEW AVE","3.4","8.5","7.8",c(-87.6666734, 41.9453707),1093,"17031831900"
"62","6/4/2021","29XX S FARRELL ST","5.1","2.3","2.1",c(-87.6532519, 41.8409982),329,"17031600600"
"63","11/9/2021","17XX W 21ST ST","<1.0","<1.0","<1.0",c(-87.6687157, 41.8543121),1981,"17031310800"
"64","11/4/2020","3XX S MICHIGAN AVE","< 1","< 1","< 1",c(-87.624729, 41.87815),2732,"17031320400"
"65","7/21/2016","96XX S SEELEY AVE","1.3","1.2","1.1",c(-87.6738126, 41.7190843),2026,"17031720300"
"66","9/12/2016","61XX W DAKIN ST","6.9","20","33",c(-87.7793694, 41.952291),2739,"17031170200"
"67","4/10/2022","40XX N ST LOUIS AVE","<0.5","1.2","<0.5",c(-87.7153571, 41.9538741),747,"17031160502"
"68",NA,"53XX S CALIFORNIA AVE","Customer declined further testing",NA,NA,c(-87.6941851, 41.7972073),2088,"17031630400"
"69","7/30/2019","43XX N SPAULDING AVE","< 1","< 1","< 1",c(-87.7107793, 41.9595229),144,"17031160501"
"70","7/23/2018","103XX S CHRISTIANA AVE","2.8","14","2.9",c(-87.7053762, 41.7059575),1232,"17031740200"
"71","4/30/2019","88XX S MERRILL AVE","7.5","13","19",c(-87.5723539, 41.7351483),820,"17031480100"
"72","8/4/2021","28XX W Division St","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.697025, 41.9030084),2571,"17031240900"
"73","4/4/2021","52XX N SAWYER AVE","3.5","3","2.9",c(-87.7098955, 41.9757525),2330,"17031831800"
"74","2/15/2019","35XX W PIERCE AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7145253, 41.9093542),2461,"17031230800"
"75","7/25/2019","41XX N MAJOR AVE","4.2","7.5","2.9",c(-87.7698953, 41.9550699),286,"17031150402"
"76","6/20/2018","6XX W BARRY AVE","1.5","1.3","1.7",c(-87.6443362, 41.93791),1190,"17031063100"
"77","11/5/2019","18XX N MONTICELLO AVE","< 1","1.5","< 1",c(-87.7182237, 41.9138352),1871,"17031222900"
"78","6/10/2018","14XX N BELL AVE","2.8","1.9","1.5",c(-87.6837882, 41.9068514),1929,"17031241200"
"79","8/23/2021","73XX S GREEN ST","6","4.1","3.2",c(-87.6458298, 41.7613982),1032,"17031681400"
"80","8/7/2019","32XX N RACINE AVE","< 1","< 1","< 1",c(-87.6591571, 41.9400794),2748,"17031062300"
"81","9/1/2020","16XX W SUNNYSIDE AVE","3.1","1.4","1.1",c(-87.6693695, 41.9634054),131,"17031031900"
"82","2/15/2019","21XX NORTH HOYNE BLVD","1.3","1.7","< 1",c(-87.6803686, 41.9201227),2331,"17031832200"
"83","2/14/2019","30XX N OLCOTT AVE","6.2","11","2.8",c(-87.8139459, 41.9343859),291,"17031170900"
"84","5/20/2019","54XX N NEVA AVE","2.6","7.5","1.1",c(-87.8061312, 41.9792734),849,"17031100600"
"85","5/29/2018","32XX S LITUANICA AVE","25","3.5","3.3",c(-87.6489914, 41.8362764),668,"17031600900"
"86","5/6/2021","23XX N CLEVELAND AVE","< 1","< 1","< 1",c(-87.6414168, 41.9237516),139,"17031071300"
"87","3/11/2022","18XX W FARWELL AVE","2.1","2.7","1.5",c(-87.6759458, 42.006725),3109,"17031010701"
"88","8/12/2019","95XX S PEORIA ST","4.9","8.2","3.6",c(-87.6456322, 41.7213356),72,"17031730400"
"89","9/29/2021","45XX W CONGRESS PKWY","2","1.5","<1.0",c(-87.7378721, 41.8743937),7,"17031260500"
"90","9/1/2021","113XX S ELIZABETH ST","2.5","2.7","1.5",c(-87.6531798, 41.687554),74,"17031750600"
"91","9/10/2016","72XX W GREENLEAF AVE","2.4","1.6","1.6",c(-87.8066917, 42.008992),1192,"17031090200"
"92","9/12/2021","10XX W 108TH ST","13","17","6.1",c(-87.6474242, 41.6977541),73,"17031750100"
"93","10/24/2018","18XX W 19TH ST","1.1","1.4","1",c(-87.6710377, 41.8558901),1981,"17031310800"
"94","3/27/2019","50XX W GUNNISON ST","2","1.8","< 1",c(-87.7527869, 41.9692157),2253,"17031110502"
"95","4/16/2022","19XX W WINNEMAC AVE","0.6","<0.5","<0.5",c(-87.6763167, 41.973311),698,"17031040402"
"96","8/14/2017","56XX N KENTON AVE","3.6","3.7","2.2",c(-87.7431231, 41.9826847),2980,"17031130200"
"97","4/6/2021","28XX W EASTWOOD AVE","< 1","< 1","< 1",c(-87.6991903, 41.9659157),2259,"17031140800"
"98","10/19/2020","58XX N KOSTNER AVE","2.4","3.3","2.4",c(-87.738561, 41.986556),278,"17031120300"
"99","6/20/2020","9XX W ROSCOE ST","< 1","< 1","< 1",c(-87.652054, 41.9438015),2977,"17031062100"
"100","4/19/2019","78XX W GREGORY ST","3.8","5.4","1.3",c(-87.8220141, 41.9807338),2647,"17031100500"
"101","9/18/2021","22XX W ARTHUR AVE","1.2","<1.0","<1.0",c(-87.6850638, 41.9996159),128,"17031020500"
"102","6/17/2021","115XX S ARTESIAN AVE","3.2","5.6","1.9",c(-87.6823294, 41.6842493),1250,"17031750400"
"103","8/11/2018","44XX N MULLIGAN AVE","4","9.3","4.2",c(-87.7857676, 41.9604479),2981,"17031150502"
"104","9/30/2019","56XX S NATCHEZ AVE","< 1","< 1","< 1",c(-87.7844719, 41.7903244),1796,"17031561000"
"105","5/16/2019","122XX S RACINE AVE","4.1","13","3.2",c(-87.6517415, 41.6720473),2865,"17031530400"
"106","6/9/2017","45XX N PAULINA ST","< 1","< 1","< 1",c(-87.6708838, 41.9633851),131,"17031031900"
"107","11/16/2019","32XX W DOUGLAS BLVD","< 1","< 1","< 1",c(-87.7055576, 41.8629735),2645,"17031843100"
"108","7/15/2016","58XX S BLACKSTONE AVE","1.1","< 1","< 1",c(-87.5903837, 41.7895509),2777,"17031411100"
"109","8/28/2016","19XX W HURON ST","< 1","< 1","< 1",c(-87.6747304, 41.8943536),1024,"17031243100"
"110","4/16/2019","17XX N SAINT MICHAELS CT","2.2","1.6","< 1",c(-87.6405826, 41.9130035),758,"17031071700"
"111","8/6/2018","5XX N NOBLE ST","< 1","< 1","< 1",c(-87.6622827, 41.891041),550,"17031243300"
"112","7/19/2018","50XX W CARMEN AVE","< 1","< 1","< 1",c(-87.7528376, 41.9734538),967,"17031120400"
"113","6/10/2018","65XX W GEORGE ST","< 1","< 1","< 1",c(-87.788188, 41.9327947),2329,"17031831500"
"114","9/21/2021","51XX N Menard Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.773647, 41.9740084),2252,"17031110400"
"115","3/27/2019","118XX S HARVARD AVE","2.7","4.6","< 1",c(-87.6311303, 41.6797481),1999,"17031530200"
"116","8/23/2021","60XX N NAVARRE AVE","1.9","5.5","2.1",c(-87.7927007, 41.9899276),1193,"17031100200"
"117","1/17/2019","64XX N NOKOMIS AVE","3.3","2.4","1.2",c(-87.7592973, 41.9973741),2254,"17031120200"
"118","8/31/2019","19XX W 102ND ST","4.5","4.4","3.6",c(-87.6702494, 41.7080322),71,"17031720200"
"119","5/8/2019","73XX N ODELL","4.2","15","3.6",c(-87.8105195, 42.0136619),1898,"17031090100"
"120","11/18/2018","14XX W ALTGELD ST","< 1","< 1","< 1",c(-87.6633708, 41.927009),1338,"17031070500"
"121","8/1/2019","41XX N RICHMOND ST","4.2","9.5","6",c(-87.7019536, 41.9557969),1034,"17031160602"
"122","10/24/2021","10XX N OAKLEY BLVD","<1.0","<1.0","<1.0",c(-87.6848065, 41.8995889),1021,"17031242400"
"123","4/3/2021","18XX W NORWOOD ST","6.1","8.1","1.4",c(-87.6752968, 41.9919511),3111,"17031020902"
"124","11/30/2020","25XX N BERNARD ST","2.4","2.4","2",c(-87.7137403, 41.9269377),2313,"17031220602"
"125","10/31/2021","41XX N ROCKWELL ST","<1.0","<1.0","<1.0",c(-87.693713, 41.956116),235,"17031050300"
"126","11/13/2019","105XX S HOYNE AVE","3","7.5","2.1",c(-87.6745927, 41.7026997),752,"17031720600"
"127","8/21/2021","21XX S TAN CT","<1.0","<1.0","<1.0",c(-87.6339458, 41.8551139),2369,"17031841100"
"128","4/16/2018","17XX N CLARK ST","< 1","< 1","< 1",c(-87.6328603, 41.9131768),1008,"17031071500"
"129","5/21/2016","113XX S UNION AVE","1.5","2.8","1.4",c(-87.639843, 41.6887315),149,"17031491200"
"130","3/19/2020","81XX S HERMITAGE AVE","3.3","3.8","1.3",c(-87.6672744, 41.7465617),1226,"17031710500"
"131","9/19/2019","40XX N RAVENSWOOD AVE","< 1","< 1","< 1",c(-87.6743262, 41.9544089),756,"17031050100"
"132","1/4/2020","25XX W WINONA ST","3.5","9.4","1.9",c(-87.6922892, 41.9748538),1180,"17031040201"
"133","9/14/2017","57XX N OKETO AVE**","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.8121978, 41.9836815),704,"17031100400"
"134","7/16/2019","69XX N WAUKESHA AVE","2.7","11","2.7",c(-87.7649263, 42.0064435),2254,"17031120200"
"135","2/13/2019","19XX N NEW ENGLAD AVE","6.2","13","2.2",c(-87.7976396, 41.9146332),376,"17031250500"
"136","6/18/2019","54XX S RUTHERFORD AVE","2.9","2.2","1.2",c(-87.7906951, 41.7939792),2741,"17031560900"
"137","1/30/2020","12XX W ARTHUR AVE","1.6","4.2","1.8",c(-87.6613005, 42.0006639),527,"17031010503"
"138","10/17/2019","98XX S DAMEN AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6722041, 41.7156366),71,"17031720200"
"139","4/26/2019","22XX W CULLOM AVE","3.1","3.1","2.7",c(-87.6839596, 41.9597631),1182,"17031050200"
"140","2/22/2020","35XX W LYNDALE ST","1.6","< 1","< 1",c(-87.7136589, 41.9218991),2315,"17031221000"
"141","1/26/2020","51XX W PENSACOLA AVE","1.3","1","< 1",c(-87.7549979, 41.959949),2543,"17031150200"
"142","11/7/2019","115XX S BISHOP ST","4.9","4.1","1.9",c(-87.657964, 41.6848719),74,"17031750600"
"143","6/17/2018","54XX N GLENWOOD AVE","1.5","< 1","< 1",c(-87.6652129, 41.9800314),231,"17031030800"
"144","11/12/2019","80XX S KIRKLAND AVE","1.2","2.6","< 1",c(-87.7298457, 41.7469201),670,"17031700301"
"145","10/6/2021","60XX N BROADWAY ST","<1.0","<1.0","<1.0",c(-87.660547, 41.9912184),129,"17031030200"
"146","3/4/2022","32XX N RAVENSWOOD AVE","<0.5","<0.5","<0.5",c(-87.6738928, 41.9396289),757,"17031051200"
"147","8/30/2019","11XX E 85TH ST","2","2","1.4",c(-87.596426, 41.7398926),2593,"17031834300"
"148","12/2/2018","17XX W CHASE AVE","3.3","2.7","2",c(-87.67261, 42.0139933),1764,"17031010202"
"149","7/21/2021","52XX W MONROE ST","4.1","8.3","2.5",c(-87.7553543, 41.8796996),2518,"17031252102"
"150","1/25/2020","14XX W LEXINGTON ST","< 1","< 1","< 1",c(-87.6617592, 41.8725202),762,"17031832900"
"151","3/1/2020","9XX W ARGYLE ST","< 1","< 1","< 1",c(-87.6526846, 41.9736403),1702,"17031031300"
"152","3/21/2019","XX N LONG AVE","1.5","< 1","< 1",c(-87.7601278, 41.88036),1029,"17031251900"
"153","12/20/2017","61XX S GREENWOOD AVE","< 1","< 1","< 1",c(-87.5995211, 41.7841049),216,"17031420300"
"154","1/24/2019","28XX S KILDARE","19","6.2","2.4",c(-87.732076, 41.840336),1210,"17031301801"
"155","9/27/2019","45XX N ASHLAND AVE","2","2","1.6",c(-87.669699, 41.9636232),131,"17031031900"
"156","9/29/2019","61XX W LAWRENCE AVE","4.8","4.9","1.9",c(-87.7798056, 41.9678113),2243,"17031150501"
"157","4/22/2022","55XX S ALBANY AVE","5.3","5.1","1.9",c(-87.7011113, 41.7935557),992,"17031630800"
"158","5/18/2019","36XX W 81ST ST","2","4.5","1.1",c(-87.7122784, 41.7462241),1225,"17031700401"
"159","8/30/2018","73XX N ASHLAND BLVD","< 1","1.5","1.9",c(-87.670244, 42.0138307),1764,"17031010202"
"160","11/19/2021","27XX N TROY ST","4.7","2.3","2.1",c(-87.7063457, 41.9303386),2569,"17031220500"
"161","2/25/2019","49XX W GEORGE ST","4.3","1.4","1",c(-87.749326, 41.9335649),2303,"17031190200"
"162","5/7/2017","111XX S SACRAMENTO AVE","< 1","< 1","< 1",c(-87.6961442, 41.6915928),2507,"17031740100"
"163","6/20/2019","63XX S HERMITAGE AVE","1.2","1.4","1.1",c(-87.6678542, 41.7793926),998,"17031671200"
"164","11/3/2018","36XX N LAKEWOOD AVE","< 1","< 1","< 1",c(-87.6617543, 41.947326),507,"17031061200"
"165","7/12/2019","48XX W HENDERSON ST","< 1","< 1","< 1",c(-87.7470126, 41.9415633),970,"17031151002"
"166","11/11/2019","11XX W Morse Ave","23.0","1.4","4.2",c(-87.6593336, 42.008011),674,"17031010400"
"167","8/25/2021","39XX N OCTAVIA AVE","2.2","2.7","1.5",c(-87.809892, 41.9508039),290,"17031170400"
